pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatTurkerLabelCode
9,ABL,6181Long,3,0,There was nothing unethical happening. The CEO was simply testing different strategies.,,R_bJjDwC7Lud3zZg5,1,1,5,1,1,1,3,1,27,0,3,0,2,0,3,1
13,ABL,6181Long,4,0,It was statistically accurate for him to suggest the matching the way that he did. It was for the greater good of everyone on the website for sure.,,R_2rZba7gS24KrePx,3,4,3,3,1,1,3,1,23,0,4,1,3,0,10,0
16,ABL,6181Long,3,0,the ceo wants to improve customer satisfaction which is acceptable,,R_8ocyjrKqMtIRlXX,4,3,4,2,1,1,3,1,44,1,4,1,4,1,9,1
18,ABL,6181Long,2,1,"These are not algorithms you're dealing with, these are people's emotions. When it comes to love and relationships, toying with people's emotions is a dangerous thing.",,R_25z3Xd5b46mGCzH,5,4,5,1,1,1,3,1,43,1,3,0,1,0,10,0
20,ABL,6181Long,4,0,It seems like a thoughtful experiment. The CEO doesn't appear to have any nefarious reasons for doing it.,,R_1reJTfvIw5u3Lv2,4,1,5,1,1,1,2,0,33,0,3,0,2,0,6,0
30,ABL,6181Long,4,0,Many people look for common ground when dating,,R_UDTfqKfy1nht7DX,4,4,4,2,2,0,3,1,44,1,4,1,4,1,10,0
38,ABL,6181Long,2,1,"Although his intentions may have been good, it doesn't seem fair to the customers. He should, at the very least, ask users if they want to participate in the program.",,R_XgMjk28BzH65zvH,3,3,4,2,2,0,3,1,32,0,4,1,3,0,8,0
45,ABL,6181Long,5,0,The whole point to a dating service is to find a match. So by doing this he is trying to up the chances,,R_6eQTYsGnxFlEX73,1,1,4,2,2,0,3,1,43,1,3,0,4,1,4,0
47,ABL,6181Long,4,0,This is his decision to make as he sees fit for his business. A greater satisfaction rate will result in more business for him and he should go that route. There is no right or wrong way to conduct his business.,,R_3me2yGWM4H6LKlH,1,3,5,1,1,1,3,1,41,1,6,1,6,1,5,0
48,ABL,6181Long,4,0,"I base my answer on personal experience, as I have my pat relationships have been like this.  I just think there is some validity to what he is doing.",,R_tYPXTpGi0DqUQXT,1,2,4,2,1,1,3,1,52,1,6,1,4,1,5,0
54,ABL,6181Long,4,0,"I think this is a good experiment to run for the sake of make a dating site better at getting results for its customers. I don't think it is offensive to anyone. When you sign up for an online dating site, it is expected that they'll give you suggestions on who you might like.",,R_2fqzvrYCc9wouuo,4,1,5,1,1,1,3,1,29,0,3,0,2,0,6,0
61,ABL,6181Long,4,0,It makes sense to match people together that would answer similarly to most of the questions.,,R_OCjeU6vY3L3VAel,1,1,5,1,1,1,3,1,33,0,3,0,2,0,3,0
65,ABL,6181Long,3,0,"This is a really interesting idea, as it ultimately finds out which method is most reliable; my objection is that it simply takes a very long time to figure this out, making it ambiguous.",,R_TvkYFyzs2ccoicx,1,1,5,1,1,1,3,1,36,1,3,0,4,1,3,0
69,ABL,6181Long,4,0,I think that this is an interesting way to find out which way works best depending on how they keep track of success.,,R_24wpsd2Oq2AzSw5,4,3,4,2,1,1,3,1,25,0,3,0,4,1,9,0
73,ABL,6181Long,3,0,The CEO is matching the respondents by randomly assigning the partners to ensure that the selections are made randomly and not through any selection process. Don't know if this is good because it leaves out preferences.,,R_2satrSiOSCxiT7e,1,1,4,2,2,0,3,1,54,1,4,1,1,0,4,0
74,ABL,6181Long,4,0,I feel it is appropriate because it make sense.  You should match them with people who have things in common.  This helps ease into the date and also just have things to talk about so its not a disaster on the first time meeting someone new.,,R_W9fGXNUKdvdyBUd,3,4,4,2,1,1,3,1,30,0,4,1,3,0,9,0
75,ABL,6181Long,3,0,"I would have to see it more so to say exactly how I feel about it. Otherwise, it's neutral at this point.",,R_eamgGhIxihkPtCx,5,3,3,3,2,0,5,0,29,0,3,0,2,0,11,0
84,ABL,6181Long,5,0,"Since this is a service type website, he is allowing the customers to express their opinions on how satisfied they are with each process. When your customers have a say in what process works best for them, the greater the customer satisfaction in your site as a whole. Smart man",,R_1IuzhyWlTHT1lN7,5,5,1,5,1,1,3,1,47,1,3,0,1,0,15,0
87,ABL,6181Long,5,0,I feel it helps make couples happier and will help make them have healthier relationships instead what it is like today.,,R_1NgDpM1Ob3Rwe2c,1,1,5,1,2,0,3,1,31,0,4,1,1,0,3,1
90,ABL,6181Long,4,0,He tried two different options etween one of the two options he will have diffrent feed backm from the partcipants. seems smart.,,R_3HIlNYFDtx5N1gk,2,4,2,4,2,0,3,1,42,1,3,0,1,0,10,0
11,ABS,6181Short,4,0,It is a legitimate experiment to see what kinds of people have successful relationships together,,R_3QY8bHQdG4UQjjq,4,2,3,3,1,1,4,0,34,1,3,0,1,0,9,0
12,ABS,6181Short,3,0,I agree with the idea but I feel like it should have been disclosed to the users. It sounds wrong to experiment on your customers without them having notice.,,R_1Fre2K2hW4wRuqT,1,1,5,1,1,1,3,1,32,0,3,0,4,1,3,0
17,ABS,6181Short,2,1,I don't think it's appropriate for someone to run an experiment without consent.,,R_1jk8j8YCoiyCSrc,1,1,5,1,2,0,3,1,25,0,3,0,2,0,3,0
19,ABS,6181Short,1,1,"He is deciding who should be matched with who based on his on test that he wants to run. He is not using actual data, just randomly applying matches to people.",,R_3fqpoRNJ4jgcdgo,5,5,4,2,2,0,3,1,47,1,3,0,3,0,12,0
22,ABS,6181Short,3,0,It's an experiment and not a matter of appropriate or inappropriate.,,R_269oAJXHAT2uaic,5,4,4,2,1,1,3,1,64,1,3,0,4,1,11,0
24,ABS,6181Short,3,0,"I don't think there's anything morally right or wrong about running the business like that. And ultimately the CEO can do whatever they want with their company as long as it's not illegal. So it's just, whatever. It's fine. Not good or bad.",,R_2QMTjHu9W8mkAnP,4,3,4,2,1,1,3,1,24,0,2,0,3,0,9,0
26,ABS,6181Short,5,0,I do not see anything wrong with the site trying new things to match people. It could help different types of people to meet.,,R_3PX0LvjYNdPV2VD,1,1,5,1,1,1,3,1,34,1,3,0,1,0,3,0
33,ABS,6181Short,5,0,Because is not like he is just setting them up randomly. There is actual algorithm that is based on fair matching percentage.,,R_33DQSPFSa68QshO,1,3,5,1,1,1,2,0,27,0,2,0,2,0,5,0
36,ABS,6181Short,4,0,I think this may bring new people into a persons dating pool that they would normally not look at.,,R_1JCqfqL4wK1MJFv,4,4,4,2,1,1,2,0,41,1,4,1,6,1,10,0
39,ABS,6181Short,3,0,It is very hard to determine who is compatible and any method is just a good as another.  Until two people meet and interact there is no way of knowing if they can get along.,,R_1rqPXhkPFH9G8he,5,3,4,2,1,1,3,1,58,1,3,0,1,0,10,0
46,ABS,6181Short,2,1,It's not the best idea to improve services if there is a problem with one of the matches his company is liable for damages or issues that may arise.,,R_1hMzGN4Zax8Ouyu,1,3,4,2,1,1,4,0,34,1,4,1,1,0,6,0
